,ville,tra_meas,A2010,A2019,lat,lng
99,PARIS,PAS_CRD,83184189,108036286,48.85,2.35
95,NICE,PAS_CRD,9587076,14467706,43.67,7.21
85,LYON,PAS_CRD,7792418,11689945,45.73,5.08
87,MARSEILLE,PAS_CRD,7336486,10117524,43.44,5.21
131,TOULOUSE,PAS_CRD,6344224,9619927,43.63,1.37
29,BORDEAUX,PAS_CRD,3601883,7662211,44.83,-0.8
93,NANTES,PAS_CRD,2954321,7187840,47.16,-1.61
21,BEAUVAIS,PAS_CRD,2931103,3982138,49.45,2.11
79,LILLE,PAS_CRD,1148996,2181841,50.56,3.09
98,PARIS,FRM_LD_NLD,1344667,2130210,48.85,2.35
91,MONTPELLIER,PAS_CRD,1178214,1935000,43.58,3.96
3,AJACCIO,PAS_CRD,1109815,1617556,41.92,8.8
19,BASTIA,PAS_CRD,1006369,1557839,42.55,9.48
125,STRASBOURG,PAS_CRD,1033809,1276508,48.54,7.63
31,BREST,PAS_CRD,894234,1205965,48.45,-4.42
27,BIARRITZ,PAS_CRD,989517,1065791,43.47,-1.53
111,RENNES,PAS_CRD,404356,848330,48.07,-1.73
65,FIGARI,PAS_CRD,437001,737720,41.5,9.1
17,BALE-MULHOUSE,PAS_CRD,742674,651152,47.59,7.53
101,PAU,PAS_CRD,670933,602285,43.38,-0.42
129,TOULON,PAS_CRD,500361,506109,43.1,6.15
127,TARBES,PAS_CRD,434169,465302,43.19,0.0
103,PERPIGNAN,PAS_CRD,362722,447800,42.74,2.87
55,CLERMONT-FERRAND,PAS_CRD,365587,426779,45.79,3.16
43,CARCASSONNE,PAS_CRD,392937,351785,43.22,2.31
39,CALVI,PAS_CRD,273564,335621,42.52,8.79
67,GRENOBLE,PAS_CRD,352705,307943,45.36,5.33
37,CAEN,PAS_CRD,76974,304685,49.17,-0.45
23,BERGERAC,PAS_CRD,259482,283810,44.82,0.52
81,LIMOGES,PAS_CRD,333013,265318,45.86,1.18
25,BEZIERS,PAS_CRD,130409,259154,43.32,3.35
89,METZ-NANCY,PAS_CRD,233034,241534,48.98,6.25
97,NIMES,PAS_CRD,180125,230021,43.76,4.42
69,LA-ROCHELLE,PAS_CRD,190454,210168,46.18,-1.2
49,CHAMBERY,PAS_CRD,231485,203820,45.64,5.88
133,TOURS,PAS_CRD,122948,174826,47.43,0.72
83,LORIENT,PAS_CRD,176278,121787,47.76,-3.44
61,DOLE,PAS_CRD,4567,110733,47.04222,5.42444
57,DEAUVILLE,PAS_CRD,104872,110429,49.36,0.16
121,ST-MALO,PAS_CRD,120827,95936,48.59,-2.08
33,BRIVE,PAS_CRD,36183,93141,45.04,1.48
105,POITIERS,PAS_CRD,98027,92473,46.59,0.31
47,CHALONS,PAS_CRD,20644,80564,48.77,4.06
113,RODEZ,PAS_CRD,138311,79805,44.41,2.48
130,TOULOUSE,FRM_LD_NLD,52232,65262,43.63,1.37
86,MARSEILLE,FRM_LD_NLD,58581,61115,43.44,5.21
107,QUIMPER,PAS_CRD,104599,57203,47.97,-4.18
84,LYON,FRM_LD_NLD,35199,56947,45.73,5.08
45,CASTRES-MAZAMET,PAS_CRD,35248,47199,43.55,2.29
13,AURILLAC,PAS_CRD,21808,38409,44.9,2.42
122,ST-NAZAIRE,FRM_LD_NLD,17035,18254,47.31,-2.16
1,AGEN,PAS_CRD,30747,14901,44.17,0.59
123,ST-NAZAIRE,PAS_CRD,14393,14875,47.31,-2.16
28,BORDEAUX,FRM_LD_NLD,7608,12710,44.83,-0.8
94,NICE,FRM_LD_NLD,17956,12313,43.67,7.21
92,NANTES,FRM_LD_NLD,8038,8788,47.16,-1.61
110,RENNES,FRM_LD_NLD,10880,8262,48.07,-1.73
18,BASTIA,FRM_LD_NLD,6978,6694,42.55,9.48
2,AJACCIO,FRM_LD_NLD,5907,6434,41.92,8.8
90,MONTPELLIER,FRM_LD_NLD,6615,6265,43.58,3.96
119,ST-ETIENNE,PAS_CRD,64604,4364,45.53,4.3
5,ALBERT-PICARDIE,PAS_CRD,1735,3701,49.97,2.69
46,CHALONS,FRM_LD_NLD,7844,2814,48.77,4.06
54,CLERMONT-FERRAND,FRM_LD_NLD,1704,2372,45.79,3.16
4,ALBERT-PICARDIE,FRM_LD_NLD,4770,1730,49.97,2.69
100,PAU,FRM_LD_NLD,1809,733,43.38,-0.42
30,BREST,FRM_LD_NLD,584,623,48.45,-4.42
51,CHATEAUROUX,PAS_CRD,3406,185,46.86,1.72
50,CHATEAUROUX,FRM_LD_NLD,6075,184,46.86,1.72
48,CHAMBERY,FRM_LD_NLD,0,159,45.64,5.88
78,LILLE,FRM_LD_NLD,79,118,50.56,3.09
124,STRASBOURG,FRM_LD_NLD,3079,63,48.54,7.63
56,DEAUVILLE,FRM_LD_NLD,37,44,49.36,0.16
16,BALE-MULHOUSE,FRM_LD_NLD,129,44,47.59,7.53
20,BEAUVAIS,FRM_LD_NLD,0,10,49.45,2.11
38,CALVI,FRM_LD_NLD,3,10,42.52,8.79
71,LANNION,PAS_CRD,32885,8,48.76,-3.47
7,ANGERS,PAS_CRD,0,0,47.56,-0.31
118,ST-ETIENNE,FRM_LD_NLD,0,0,45.53,4.3
132,TOURS,FRM_LD_NLD,9,0,47.43,0.72
128,TOULON,FRM_LD_NLD,0,0,43.1,6.15
9,ANGOULEME,PAS_CRD,246,0,45.73,0.22
126,TARBES,FRM_LD_NLD,0,0,43.19,0.0
102,PERPIGNAN,FRM_LD_NLD,0,0,42.74,2.87
6,ANGERS,FRM_LD_NLD,0,0,47.56,-0.31
120,ST-MALO,FRM_LD_NLD,12,0,48.59,-2.08
8,ANGOULEME,FRM_LD_NLD,0,0,45.73,0.22
11,ANNECY,PAS_CRD,51392,0,45.93,6.11
112,RODEZ,FRM_LD_NLD,0,0,44.41,2.48
104,POITIERS,FRM_LD_NLD,17,0,46.59,0.31
117,ST-BRIEUC,PAS_CRD,0,0,48.54,-2.86
116,ST-BRIEUC,FRM_LD_NLD,0,0,48.54,-2.86
115,ROUEN,PAS_CRD,2821,0,49.39,1.18
106,QUIMPER,FRM_LD_NLD,0,0,47.97,-4.18
108,REIMS,FRM_LD_NLD,0,0,49.21,4.15
114,ROUEN,FRM_LD_NLD,0,0,49.39,1.18
109,REIMS,PAS_CRD,0,0,49.21,4.15
10,ANNECY,FRM_LD_NLD,0,0,45.93,6.11
36,CAEN,FRM_LD_NLD,40,0,49.17,-0.45
12,AURILLAC,FRM_LD_NLD,0,0,44.9,2.42
53,CHERBOURG,PAS_CRD,0,0,49.65,-1.5
64,FIGARI,FRM_LD_NLD,0,0,41.5,9.1
63,EPINAL,PAS_CRD,0,0,48.33,6.07
62,EPINAL,FRM_LD_NLD,0,0,48.33,6.07
60,DOLE,FRM_LD_NLD,1265,0,47.04222,5.42444
59,DIJON,PAS_CRD,16119,0,47.27,5.09
58,DIJON,FRM_LD_NLD,0,0,47.27,5.09
52,CHERBOURG,FRM_LD_NLD,0,0,49.65,-1.5
68,LA-ROCHELLE,FRM_LD_NLD,0,0,46.18,-1.2
32,BRIVE,FRM_LD_NLD,0,0,45.04,1.48
44,CASTRES-MAZAMET,FRM_LD_NLD,0,0,43.55,2.29
42,CARCASSONNE,FRM_LD_NLD,0,0,43.22,2.31
41,CANNES,PAS_CRD,16760,0,43.55,6.85
40,CANNES,FRM_LD_NLD,0,0,43.55,6.85
34,BRIVE-LAROCHE,FRM_LD_NLD,0,0,,
66,GRENOBLE,FRM_LD_NLD,0,0,45.36,5.33
26,BIARRITZ,FRM_LD_NLD,0,0,43.47,-1.53
96,NIMES,FRM_LD_NLD,12,0,43.76,4.42
80,LIMOGES,FRM_LD_NLD,427,0,45.86,1.18
14,AVIGNON,FRM_LD_NLD,0,0,43.91,4.9
15,AVIGNON,PAS_CRD,28928,0,43.91,4.9
88,METZ-NANCY,FRM_LD_NLD,0,0,48.98,6.25
35,BRIVE-LAROCHE,PAS_CRD,0,0,,
82,LORIENT,FRM_LD_NLD,0,0,47.76,-3.44
22,BERGERAC,FRM_LD_NLD,0,0,44.82,0.52
24,BEZIERS,FRM_LD_NLD,0,0,43.32,3.35
70,LANNION,FRM_LD_NLD,0,0,48.76,-3.47
77,LE-PUY-EN-VELAY,PAS_CRD,0,0,45.08,3.76
76,LE-PUY-EN-VELAY,FRM_LD_NLD,0,0,45.08,3.76
75,LE-MANS,PAS_CRD,0,0,47.95,0.2
74,LE-MANS,FRM_LD_NLD,0,0,47.95,0.2
73,LE-HAVRE,PAS_CRD,41896,0,49.53,0.09
72,LE-HAVRE,FRM_LD_NLD,1,0,49.53,0.09
0,AGEN,FRM_LD_NLD,0,0,44.17,0.59
